target_label,slug,method_name,run_name,n_control_eval,n_perturbed_eval,embedding_dim,epsilon,tau_a,tau_b,rank,evaluation_style,centroid_control_to_perturbed,centroid_bary_to_perturbed,centroid_ratio_bary_to_pert_over_ctrl_to_pert,mmd2_gamma_common_eval,mmd2_control_to_perturbed,mmd2_bary_to_perturbed,mmd2_ratio_bary_to_pert_over_ctrl_to_pert,clf_acc_control_vs_perturbed,clf_auc_control_vs_perturbed,clf_sep_auc_control_vs_perturbed,clf_auc_dist_from_0p5_control_vs_perturbed,clf_acc_bary_vs_perturbed,clf_auc_bary_vs_perturbed,clf_sep_auc_bary_vs_perturbed,clf_auc_dist_from_0p5_bary_vs_perturbed,transport_mass_total,row_mass_min,row_mass_max,col_mass_min,col_mass_max,row_entropy_mean,row_entropy_median,effective_targets_per_source_mean,effective_targets_per_source_median,annot_label_transfer_acc_source_to_target,annot_label_transfer_mean_max_prob,converged,transport_cost,old_separate_bandwidth_mmd2_control_to_perturbed,old_separate_bandwidth_mmd2_bary_to_perturbed,old_separate_bandwidth_mmd2_ratio_bary_to_pert_over_ctrl_to_pert
YY1 KO,YY1_KO,rna_only_pca,rna_only_pca__eps0p001__taua0p95__taub0p95,229,47,50,0.001,0.95,0.95,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,0.9440398216247559,0.44275352358818054,0.46899877891397845,0.03185056661961243,0.0238386541701191,0.012092608704581953,0.5072689346590549,0.6626506024096386,0.5973084886128365,0.5973084886128365,0.09730848861283647,0.5301204819277109,0.16614906832298137,0.8338509316770186,0.3338509316770186,0.014639818123312037,0.0,0.0008477747905999422,1.1688254808535421e-09,0.0013554190820148292,0.08115953028431742,3.392614840096869e-07,1.1115349824492715,1.0000003392615415,1.0,0.9781659388646288,True,0.0385565012693405,0.0228362893679274,0.0128077163498644,0.5608492756205958
YY1 KO,YY1_KO,rna_only_pca,rna_only_pca__eps0p001__taua0p9__taub0p9,229,47,50,0.001,0.9,0.9,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,0.9440398216247559,0.47535401582717896,0.5035317419227748,0.031784560275164665,0.023819094049419176,0.01295764248284359,0.5440023225047704,0.6626506024096386,0.5973084886128365,0.5973084886128365,0.09730848861283647,0.5542168674698795,0.21739130434782605,0.782608695652174,0.28260869565217395,0.0010527411098939501,0.0,0.00011531704512890428,1.4306583679003787e-16,0.00014945330842443721,0.061281764102073456,1.0018727556549109e-06,1.0781710466050582,1.0000010018732575,1.0,0.9781659388646288,True,0.0189921297132968,0.0228362893679274,0.0137028766534873,0.600048301749601
YY1 KO,YY1_KO,rna_only_pca,rna_only_pca__eps0p003__taua1__taub1,229,47,50,0.003,1.0,1.0,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,0.9440398216247559,0.0013295611133798957,0.0014083739720763388,0.03027909144278155,0.02335402609095316,0.0015585852435007208,0.06673732560847324,0.6626506024096386,0.5973084886128365,0.5973084886128365,0.09730848861283647,0.3614457831325301,0.13354037267080743,0.8664596273291926,0.36645962732919257,0.9999910496859914,0.004363793866219843,0.004366872367267419,0.021190079990489063,0.021321298773977752,0.24774792636987214,0.055832287302280244,1.3545793375099242,1.0574203260489534,1.0,1.0,True,0.8012508153915405,0.0228362893679274,0.0016645872979578,0.072892196763615
YY1 KO,YY1_KO,rna_only_pca,rna_only_pca__eps0p003__taua0p95__taub0p95,229,47,50,0.003,0.95,0.95,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,0.9440398216247559,0.3606319725513458,0.38200928000121226,0.03218223947337534,0.023935916010792258,0.01058251696584056,0.4421187374265978,0.6626506024096386,0.5973084886128365,0.5973084886128365,0.09730848861283647,0.46987951807228917,0.14182194616977226,0.8581780538302277,0.3581780538302277,0.2009065586013376,0.0,0.0034679671168930445,7.245473912200748e-05,0.008894813348169512,0.19770556950270593,0.027705513718175062,1.2819852387207795,1.0280928805880507,1.0,0.9781659388646288,True,0.0984802618622779,0.0228362893679274,0.0113189988546975,0.4956584089617719
YY1 KO,YY1_KO,rna_only_pca,rna_only_pca__eps0p003__taua0p9__taub0p9,229,47,50,0.003,0.9,0.9,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,0.9440398216247559,0.4191577434539795,0.44400430347586495,0.03257217210470851,0.024048102135368343,0.013603010326587284,0.5656583729566287,0.6626506024096386,0.5973084886128365,0.5973084886128365,0.09730848861283647,0.5301204819277109,0.15320910973084886,0.8467908902691511,0.3467908902691511,0.05352922494328005,0.0,0.0019498210300569305,2.7576193724973296e-07,0.003788762485716508,0.18601932468174662,0.021479024961481685,1.2636215839509792,1.0217113596775045,1.0,0.9781659388646288,True,0.0551132149994373,0.0228362893679274,0.014644039469861,0.6412617756730619
YY1 KO,YY1_KO,rna_only_pca,rna_only_pca__eps0p01__taua1__taub1,229,47,50,0.01,1.0,1.0,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,0.9440398216247559,0.0008482119301334023,0.0008984916851002882,0.03269861783225254,0.02408398669351164,0.009405258872844713,0.39051918573674277,0.6626506024096386,0.5973084886128365,0.5973084886128365,0.09730848861283647,0.43373493975903615,0.09730848861283643,0.9026915113871635,0.4026915113871636,1.0000015895313048,0.0043667931133347625,0.004367273050778664,0.02122802325577574,0.021295804829063,0.6823975700830157,0.6673652513206689,2.240114437893401,1.9490951735436137,1.0,1.0,True,0.8249521255493164,0.0228362893679274,0.0109179909457994,0.4780982921478172
YY1 KO,YY1_KO,rna_only_pca,rna_only_pca__eps0p01__taua0p95__taub0p95,229,47,50,0.01,0.95,0.95,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,0.9440398216247559,0.21127189695835114,0.22379553501751445,0.03403022312234221,0.02444759443434963,0.0172301171476269,0.7047776088521025,0.6626506024096386,0.5973084886128365,0.5973084886128365,0.09730848861283647,0.4939759036144578,0.10973084886128363,0.8902691511387164,0.39026915113871635,0.6408937335507985,0.0,0.004747757183991046,0.003891765057954856,0.02041813076288494,0.6649273048081655,0.64564252835614,2.1939372374985133,1.9072120735053477,1.0,0.9781659388646288,True,0.1927775740623474,0.0228362893679274,0.0201072677713262,0.8804962771038428
YY1 KO,YY1_KO,rna_only_pca,rna_only_pca__eps0p01__taua0p9__taub0p9,229,47,50,0.01,0.9,0.9,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,0.9440398216247559,0.2999247610569,0.3177035059185421,0.034523773825974234,0.02457592964805988,0.02103945364135329,0.8561000109720865,0.6626506024096386,0.5973084886128365,0.5973084886128365,0.09730848861283647,0.5060240963855421,0.10559006211180122,0.8944099378881988,0.3944099378881988,0.43304771099332473,0.0,0.004725138564929609,0.0007374052136288638,0.016901751506764828,0.6476124500984025,0.6332251275102933,2.159826465971814,1.8836758882372278,1.0,0.9781659388646288,True,0.1389951258897781,0.0228362893679274,0.0244634679410049,1.071254070521754
DMAP1 KO,DMAP1_KO,rna_only_pca,rna_only_pca__eps0p001__taua1__taub1,229,46,50,0.001,1.0,1.0,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,2.6636619567871094,0.0039168717339634895,0.001470483791677527,0.02563880263894988,0.12387108746286912,0.0006032948844330033,0.004870344620279881,0.9397590361445783,0.9254658385093169,0.9254658385093169,0.42546583850931685,0.25301204819277107,0.08954451345755693,0.910455486542443,0.41045548654244307,0.9999918424396652,0.00436544232070446,0.004367524292320013,0.021594610530883074,0.02186241702730205,0.1605591665792221,0.00018784954053840708,1.2201726257982939,1.0001878671853681,1.0,1.0,True,0.8192567825317383,0.1242471375469645,0.0006436032471821,0.005180024746557
DMAP1 KO,DMAP1_KO,rna_only_pca,rna_only_pca__eps0p001__taua0p95__taub0p95,229,46,50,0.001,0.95,0.95,-1,plan_barycenter_common_RNA_PCA_shared_MMD_bandwidth,2.6636619567871094,0.9233360886573792,0.34664161730608667,0.029099194713443074,0.12431074861835911,0.026713861838694508,0.21489583270636994,0.9397590361445783,0.9254658385093169,0.9254658385093169,0.42546583850931685,0.5662650602409639,0.2598343685300207,0.7401656314699794,0.24016563146997932,0.010674628492662314,0.0,0.0013098618979192015,0.0,0.0020988737507546982,0.1181628591200025,1.2830435465821272e-05,1.1642717635505602,1.0000128305177762,1.0,0.9781659388646288,True,0.0386850982904434,0.1242471375469645,0.0284722361038357,0.2291580849745809
