model,ko,split,n_real_ko_cells,norm_delta_real,norm_delta_pred,pcc_all,expr_pcc_all,pcc_DE20,mse_DE20,expr_pcc_DE20,pcc_DE50,mse_DE50,expr_pcc_DE50,pcc_DE100,mse_DE100,expr_pcc_DE100,pcc_DE500,mse_DE500,expr_pcc_DE500,pcc_DE1000,mse_DE1000,expr_pcc_DE1000,mse_all,cos_sim_delta,cos_sim_expr,per_cell_pcc_DE20,per_cell_pcc_DE50,per_cell_pcc_DE100,per_cell_pcc_DE500,per_cell_pcc_DE1000,per_cell_pcc_all,spread_pred,mmd2_pred_vs_real_DE100,spread_real
linear_mf_loko__EP400_EZH2,YY1,val_test,46,2.441263437271118,2.393158197402954,0.3904767632484436,0.9811499118804932,0.7472869753837585,0.0380985327064991,0.8846439719200134,0.6317097544670105,0.032987091690301895,0.9217787384986877,0.5329631567001343,0.02974563091993332,0.9653699994087219,0.3870907723903656,0.012478482909500599,0.9705624580383301,0.37859249114990234,0.007053848821669817,0.977307915687561,0.0036500568967312574,0.3754376173019409,0.9831020832061768,0.19220247864723206,0.13527646660804749,0.10806960612535477,0.06495089828968048,0.06127096340060234,0.0628611221909523,0.1973341703414917,0.02775359103087159,0.1753574162721634
mean_pert_loko__EP400_EZH2,YY1,val_test,46,2.441263437271118,2.4460389614105225,0.12086258083581924,0.9733128547668457,0.35717713832855225,0.09717962145805359,0.7534742951393127,0.23921094834804535,0.07050307095050812,0.8574653267860413,0.22913740575313568,0.05214407294988632,0.947289764881134,0.14145250618457794,0.018886152654886246,0.9581727981567383,0.12326210737228394,0.010441326536238194,0.9678801894187927,0.005319573450833559,0.10916383564472198,0.9766463041305542,0.05889898166060448,0.04721451550722122,0.042999669909477234,0.023709533736109734,0.019489560276269913,0.01873694360256195,0.1973341703414917,0.030075875338640434,0.1753574162721634
ntc_identity_loko__EP400_EZH2,YY1,val_test,46,2.441263437271118,0.0,,0.9853115081787109,,0.09512051194906235,0.713729739189148,,0.06136481463909149,0.8747385144233704,,0.04115591198205948,0.957771897315979,,0.011649188585579395,0.9751119613647461,,0.005954876076430082,0.9822205901145935,0.002979883924126625,,0.9871476292610168,-0.00029589628684334457,0.0006331545300781727,8.542652358300984e-05,-0.0011386588448658586,-0.0015330839669331908,-0.0016836889553815126,0.1973341703414917,0.029202320469912512,0.1753574162721634
linear_mf_loko__EP400_EZH2,YY1,all,232,1.9978725910186768,2.2034194469451904,0.9746053218841553,0.9992464780807495,0.9939712882041931,0.0014511325862258673,0.9981368184089661,0.9917344450950623,0.0010329169454053044,0.998206377029419,0.9889321327209473,0.0008859182125888765,0.9990317821502686,0.9782043099403381,0.0005760157946497202,0.9989466667175293,0.9751698970794678,0.00037722080014646053,0.9991267919540405,0.00024506181944161654,0.9491302967071533,0.9989335536956787,0.3000522553920746,0.24379874765872955,0.21319971978664398,0.15136559307575226,0.1439560502767563,0.14177976548671722,0.21215558052062988,0.009777859696969609,0.1940334141254425
mean_pert_loko__EP400_EZH2,YY1,all,232,1.9978725910186768,2.215224504470825,-0.17796021699905396,0.9734106659889221,-0.10645268112421036,0.15762779116630554,0.8217023015022278,-0.2062874138355255,0.09589681774377823,0.8642520904541016,-0.20719820261001587,0.06201272830367088,0.9428136944770813,-0.17780940234661102,0.019759610295295715,0.9586637020111084,-0.17745549976825714,0.010424592532217503,0.9683021306991577,0.005265390500426292,-0.18438373506069183,0.9770206809043884,-0.01884450763463974,-0.03009585477411747,-0.027474943548440933,-0.026858439669013023,-0.0278455913066864,-0.028012609109282494,0.21215558052062988,0.014460220781941766,0.1940334141254425
ntc_identity_loko__EP400_EZH2,YY1,all,232,1.9978725910186768,0.0,,0.9901078939437866,,0.08682011067867279,0.9055997729301453,,0.04989296942949295,0.934249758720398,,0.03135991841554642,0.9725255370140076,,0.007897594943642616,0.9841008186340332,,0.003987605217844248,0.9882301092147827,0.0019957476761192083,,0.9914070963859558,0.003969098906964064,0.006322953850030899,0.004955161362886429,-0.0016057161847129464,-0.0027569113299250603,-0.003118385560810566,0.21215558052062988,0.012205062679703713,0.1940334141254425
linear_mf_loko__EP400_SMARCA4,ACTL6A,test,10,7.673104763031006,5.890061855316162,0.7812958359718323,0.9552716612815857,0.9322185516357422,0.18772077560424805,0.8454811573028564,0.9258413314819336,0.1296154409646988,0.8948066830635071,0.8969088792800903,0.09842979162931442,0.9000465273857117,0.8082102537155151,0.04076552763581276,0.9287887811660767,0.7838155627250671,0.022684386000037193,0.9484856128692627,0.011472097598016262,0.781337320804596,0.9607482552528381,0.5862604379653931,0.5190858244895935,0.45751574635505676,0.3219839930534363,0.3004666268825531,0.29807913303375244,0.1879892498254776,0.11202723998128565,0.1471325010061264
mean_pert_loko__EP400_SMARCA4,ACTL6A,test,10,7.673104763031006,2.4465126991271973,0.6316572427749634,0.9197542667388916,0.9377771019935608,0.7607823610305786,0.39771324396133423,0.896099328994751,0.4486713111400604,0.5826020240783691,0.8344569802284241,0.28645744919776917,0.6898084878921509,0.6734257340431213,0.08033744990825653,0.85679030418396,0.6360505819320679,0.04105078801512718,0.9063730239868164,0.02056463435292244,0.632118284702301,0.929656982421875,0.2489166259765625,0.2058214694261551,0.17663316428661346,0.11667603254318237,0.10866977274417877,0.10745731741189957,0.1879892498254776,0.12311702782051281,0.1471325010061264
ntc_identity_loko__EP400_SMARCA4,ACTL6A,test,10,7.673104763031006,0.0,,0.8803130388259888,,1.1598185300827026,0.07470377534627914,,0.6953039765357971,0.2874203324317932,,0.44308990240097046,0.4695965051651001,,0.11698564141988754,0.7814162969589233,,0.058875348418951035,0.8595935702323914,0.029438266530632973,,0.8954280614852905,-0.01827067695558071,-0.008628133684396744,-0.00505574606359005,0.0005338312475942075,0.0011991203064098954,0.001253998838365078,0.1879892498254776,0.12936175360683372,0.1471325010061264
linear_mf_loko__EP400_SMARCA4,ACTL6A,val_test,20,6.624892234802246,5.782606601715088,0.8364770412445068,0.9722782373428345,0.9687920808792114,0.06793714314699173,0.959593653678894,0.9448217153549194,0.06347110122442245,0.9322395920753479,0.9238604307174683,0.05047589913010597,0.9351443648338318,0.852052628993988,0.023686375468969345,0.9550470113754272,0.839682400226593,0.012934131547808647,0.968182384967804,0.006617593113332987,0.8365176320075989,0.9758394360542297,0.5873949527740479,0.5427689552307129,0.46860358119010925,0.33343741297721863,0.3142804503440857,0.30959954857826233,0.1973341703414917,0.05784385706625241,0.16698403656482697
